userID,Join Time,Leave Time
user46,2020-10-08 16:23,2020-10-08 17:16
user42,2020-10-08 16:25,2020-10-08 17:00
user28,2020-10-08 16:26,2020-10-08 16:41
user28,2020-10-08 16:41,2020-10-08 17:15
user32,2020-10-08 16:48,2020-10-08 17:16
user6,2020-10-08 16:01,2020-10-08 17:18
user42,2020-10-08 17:00,2020-10-08 17:16
user47,2020-10-13 15:43,2020-10-13 17:27
user20,2020-10-13 15:47,2020-10-13 17:19
user17,2020-10-13 15:47,2020-10-13 17:20
user21,2020-10-13 15:49,2020-10-13 17:19
user40,2020-10-13 15:50,2020-10-13 17:02
user9,2020-10-13 15:50,2020-10-13 17:19
user44,2020-10-13 15:50,2020-10-13 17:20
user33,2020-10-13 15:52,2020-10-13 17:21
user15,2020-10-13 15:52,2020-10-13 17:20
user5,2020-10-13 15:53,2020-10-13 17:19
user53,2020-10-13 15:55,2020-10-13 17:27
user29,2020-10-13 15:56,2020-10-13 17:20
user11,2020-10-13 15:57,2020-10-13 17:22
user6,2020-10-13 15:57,2020-10-13 15:58
user4,2020-10-13 15:58,2020-10-13 17:19
user36,2020-10-13 15:58,2020-10-13 17:27
user57,2020-10-13 15:58,2020-10-13 17:20
user39,2020-10-13 15:58,2020-10-13 17:19
user18,2020-10-13 15:58,2020-10-13 17:20
user59,2020-10-13 15:59,2020-10-13 17:22
user24,2020-10-13 15:59,2020-10-13 17:14
user31,2020-10-13 15:59,2020-10-13 17:20
user6,2020-10-13 15:59,2020-10-13 17:27
user3,2020-10-13 15:59,2020-10-13 17:19
user45,2020-10-13 15:59,2020-10-13 17:19
user8,2020-10-13 15:59,2020-10-13 17:20
user23,2020-10-13 15:59,2020-10-13 17:19
user50,2020-10-13 16:00,2020-10-13 17:20
user14,2020-10-13 16:00,2020-10-13 17:20
user56,2020-10-13 16:01,2020-10-13 17:20
user32,2020-10-13 16:01,2020-10-13 17:20
user37,2020-10-13 16:01,2020-10-13 17:20
user42,2020-10-13 16:01,2020-10-13 17:25
user19,2020-10-13 16:01,2020-10-13 17:20
user2,2020-10-13 16:01,2020-10-13 17:20
user16,2020-10-13 16:03,2020-10-13 17:20
user22,2020-10-13 16:04,2020-10-13 17:19
user10,2020-10-13 16:05,2020-10-13 17:20
user46,2020-10-13 16:08,2020-10-13 17:20
user7,2020-10-13 16:08,2020-10-13 17:20
user40,2020-10-13 17:03,2020-10-13 17:19
